Method,SNR,nestboot,topology,random,Max_AUROC,Max_MCC,Max_F1
TIGRESS,1000,yes,random,No,0.5388489228075106,-0.032271339729668995,0.10320284697508897
Lasso,1000,No,smallworld_scalefree,No,0.994472545926416,0.41495618221747965,0.4028776978417266
Lasso,1000,No,smallworld_scalefree,Yes,0.5111577018981223,0.03429780990901408,0.15867158671586717
Lasso,1000,yes,smallworld_scalefree,No,0.7124838430614219,-0.22554801373783445,0.12752721617418353
LSCO,1000,No,smallworld_scalefree,No,0.986160500737876,0.8997590448463558,0.9045226130653267
LSCO,1000,No,smallworld_scalefree,Yes,0.5178494733092464,0.045253229512039014,0.16689466484268128
LSCO,1000,yes,smallworld_scalefree,No,0.7609607653554527,0.18602896386164938,0.25708061002178645
CLR,1000,No,smallworld_scalefree,No,0.5475110681390261,0.07101023445290079,0.1688888888888889
CLR,1000,No,smallworld_scalefree,Yes,0.49956236323851205,-0.0020619194909921364,0.12993039443155452
CLR,1000,yes,smallworld_scalefree,No,0.5694641494071548,0.10403847680519684,0.19834710743801653
GENIE3,1000,No,smallworld_scalefree,No,0.7034573304157548,0.3154127085762414,0.3570057581573896
GENIE3,1000,No,smallworld_scalefree,Yes,0.499781181619256,-0.006136108067566259,0.12476370510396975
GENIE3,1000,yes,smallworld_scalefree,No,0.7136216986412904,0.30016753295294424,0.3621794871794872
TIGRESS,1000,No,smallworld_scalefree,No,0.521571421301715,0.042097707114803776,0.13513513513513514
TIGRESS,1000,No,smallworld_scalefree,Yes,0.47459671263548925,-0.047997408351921934,0.12537993920972643
TIGRESS,1000,yes,smallworld_scalefree,No,0.5276505012467558,0.0005534997242045224,0.14972611077297626
Lasso,1000,No,smallworld,No,0.9956467353270182,0.36175922774787284,0.3610894941634241
Lasso,1000,No,smallworld,Yes,0.5060201793104208,0.04095492943423822,0.18204488778054864
Lasso,1000,yes,smallworld,No,0.7190500331546107,-0.20892250828894116,0.14552380952380953
LSCO,1000,No,smallworld,No,0.9775320111899106,0.8809427156476244,0.8898678414096917
LSCO,1000,No,smallworld,Yes,0.5,0.025661934437956526,0.17779444861215304
LSCO,1000,yes,smallworld,No,0.7599045955413019,0.17802280963743,0.2630834512022631
CLR,1000,No,smallworld,No,0.6142575846912028,0.27702646674741865,0.3185378590078329
CLR,1000,No,smallworld,Yes,0.511819940156387,0.055561860868245286,0.14392449862367285
CLR,1000,yes,smallworld,No,0.645663542234933,0.30265253386267366,0.332425068119891
GENIE3,1000,No,smallworld,No,0.7229505215651916,0.39964721167925793,0.42827442827442824
GENIE3,1000,No,smallworld,Yes,0.5035276138415449,0.0174012178755594,0.14374225526641884
GENIE3,1000,yes,smallworld,No,0.7265809973568153,0.3195194130986066,0.3910034602076124
TIGRESS,1000,No,smallworld,No,0.5554563672465509,0.11174590046807091,0.19665271966527198
TIGRESS,1000,No,smallworld,Yes,0.499327723683413,-0.0013180928993687326,0.14263074484944532
TIGRESS,1000,yes,smallworld,No,0.6222753063357451,0.06373598904194912,0.1930261519302615
Lasso,1000,No,random,No,0.9833953344183524,0.6076173837167597,0.6246575342465754
Lasso,1000,No,random,Yes,0.5151847300184896,0.01823034268005315,0.11653424139235717
Lasso,1000,yes,random,No,0.6299158003122197,-0.2784186742395614,0.08176352705410822
LSCO,1000,No,random,No,0.9832873861006852,0.9251521908667036,0.9273356401384082
LSCO,1000,No,random,Yes,0.5190431903986892,0.02758827232394936,0.1198215423836839
LSCO,1000,yes,random,No,0.6839646925964062,0.2765312100276535,0.24169184290030207
CLR,1000,No,random,No,0.5910751652439632,0.13983714605036945,0.20098039215686275
CLR,1000,No,random,Yes,0.5074345943911162,0.03288128696464107,0.08030888030888032
CLR,1000,yes,random,No,0.5706480220546716,0.13277107191807258,0.1764705882352941
GENIE3,1000,No,random,No,0.716524949900909,0.33657149671936853,0.3792048929663609
GENIE3,1000,No,random,Yes,0.5004151858371807,0.0012653010267313486,0.08622398414271555
GENIE3,1000,yes,random,No,0.691699604743083,0.2819596839367509,0.32762836185819066
TIGRESS,1000,No,random,No,0.515730007417987,0.03524466453439942,0.08727272727272727
TIGRESS,1000,No,random,Yes,0.5047109752992106,0.010433526570264428,0.0826525708793849
TIGRESS,1000,yes,random,No,0.4780228296852338,-0.07712289945501183,0.09071729957805906
Lasso,1000,No,random,No,0.989517699308655,0.646154820453791,0.6597402597402597
Lasso,1000,No,random,Yes,0.5276018421282926,0.04902567485758426,0.12248995983935745
Lasso,1000,yes,random,No,0.657204428108865,-0.24824838235066046,0.08558740411788454
LSCO,1000,No,random,No,0.9825673295703159,0.9405407876454612,0.9431438127090301
LSCO,1000,No,random,Yes,0.52008127680056,0.02913198952627129,0.12081274025260846
LSCO,1000,yes,random,No,0.6821494596131968,0.2507648297922911,0.27906976744186046
CLR,1000,No,random,No,0.5820042443335959,0.152141160450572,0.16725978647686832
CLR,1000,No,random,Yes,0.4997046468889472,-0.0014174642278003602,0.0825545171339564
CLR,1000,yes,random,No,0.5653769580817363,0.08845078064251179,0.15789473684210525
GENIE3,1000,No,random,No,0.7266383893410344,0.36271309129097334,0.37299035369774913
GENIE3,1000,No,random,Yes,0.4997866894197952,-0.003526673038996368,0.08610400682011936
GENIE3,1000,yes,random,No,0.7046263783145182,0.28979064381925884,0.33678756476683935
TIGRESS,1000,No,random,No,0.5175516320994137,0.044635136503190016,0.09313970956434652
TIGRESS,1000,No,random,Yes,0.502822263061171,0.006127035715532136,0.08009611533840609
TIGRESS,1000,yes,random,No,0.5121628051982147,-0.04577423386378364,0.09898762654668167
Lasso,1000,No,scalefree,No,0.9997462505175154,0.5595948775786169,0.5625000000000001
Lasso,1000,No,scalefree,Yes,0.5115255685991693,0.03633215459663555,0.17117450907743612
Lasso,1000,yes,scalefree,No,0.7675988621338996,-0.21227399957612006,0.13976833976833977
LSCO,1000,No,scalefree,No,0.9986911868798163,0.9808038777254231,0.9823788546255507
LSCO,1000,No,scalefree,Yes,0.5126121124358233,0.04170829608632899,0.17360565593087196
LSCO,1000,yes,scalefree,No,0.7989016272401024,0.26049306577822673,0.335195530726257
CLR,1000,No,scalefree,No,0.5359618345515216,0.06670209790030487,0.15888778550148955
CLR,1000,No,scalefree,Yes,0.499559277214632,-0.009028332036400447,0.13522599925289502
CLR,1000,yes,scalefree,No,0.5348190079349179,0.08711461591411289,0.15172413793103448
GENIE3,1000,No,scalefree,No,0.6848374190815795,0.3123659700533822,0.3674321503131524
GENIE3,1000,No,scalefree,Yes,0.499779638607316,-0.006382717368049732,0.13594470046082946
GENIE3,1000,yes,scalefree,No,0.6951657861750413,0.3014914472817541,0.372093023255814
TIGRESS,1000,No,scalefree,No,0.4900942307288716,-0.02317304464406237,0.13660377358490564
TIGRESS,1000,No,scalefree,Yes,0.4863480870532435,-0.030511044974806056,0.13498312710911137
TIGRESS,1000,yes,scalefree,No,0.44902688027412574,-0.08126629463686863,0.13522599925289502
Lasso,1000,No,scalefree,No,0.9866504877522947,0.30982910894153887,0.33506044905008636
Lasso,1000,No,scalefree,Yes,0.5171796031205463,0.03518930546641264,0.16954128440366975
Lasso,1000,yes,scalefree,No,0.6362329458407026,-0.21233662616168947,0.1376075058639562
LSCO,1000,No,scalefree,No,0.9841492428535179,0.8884159914757521,0.8946135831381733
LSCO,1000,No,scalefree,Yes,0.5160176975954851,0.03954721028408134,0.1700705532862978
LSCO,1000,yes,scalefree,No,0.7773090725933388,0.21471379132035884,0.28695652173913044
CLR,1000,No,scalefree,No,0.5810796372717923,0.08123072821218776,0.1968721251149954
